,i,parm,energy,PC_s,PC_f,dE,Unnamed: 0,frame,error,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5
10,10,114.12041,-2078.5307624902302,1.540629518,1.50868842,0.06694000722291094,21,10,1.598468559,-0.1242232162150994,-0.1241153530042475,0.2763858312713351,-0.0947593590056062,-0.2763858312713351,0.0947593590056062,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.28915502666874,-0.0657188307925812,-0.28915502666874,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
11,11,115.12041,-2078.517156797705,1.567106464,1.513318524,0.0805456997481997,23,11,1.74716563,-0.1242232162150994,-0.1241153530042474,0.2763858312713351,-0.0947593590056062,-0.2763858312713351,0.0947593590056062,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687401,-0.0657188307925811,-0.2891550266687401,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
12,12,116.12041,-2078.502462649778,1.59543727,1.517447861,0.09523984767520233,25,12,1.895042647,-0.1242232162150994,-0.1241153530042473,0.2763858312713351,-0.0947593590056062,-0.2763858312713351,0.0947593590056062,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.28915502666874,-0.0657188307925812,-0.28915502666874,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
13,13,117.12041,-2078.486680046449,1.625665992,1.521376433,0.11102245100437358,27,13,2.042053165,-0.1242232162150994,-0.1241153530042473,0.2763858312713351,-0.0947593590056061,-0.2763858312713351,0.0947593590056061,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.28915502666874,-0.0657188307925811,-0.28915502666874,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
14,14,118.12041,-2078.4698089877184,1.657737536,1.525287974,0.12789350973480396,29,14,2.187924942,-0.1242232162150994,-0.1241153530042473,0.2763858312713351,-0.094759359005606,-0.2763858312713351,0.094759359005606,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687399,-0.0657188307925812,-0.2891550266687399,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
15,15,119.12041,-2078.451849473585,1.691211934,1.528687028,0.14585302386831245,31,15,2.3325851930000003,-0.1242232162150995,-0.1241153530042472,0.2763858312713351,-0.094759359005606,-0.2763858312713351,0.094759359005606,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687399,-0.0657188307925811,-0.2891550266687399,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
16,16,120.12041,-2078.43280150405,1.725480729,1.531401557,0.16490099340308007,33,16,2.475720735,-0.1242232162150994,-0.1241153530042472,0.2763858312713351,-0.094759359005606,-0.2763858312713351,0.094759359005606,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687399,-0.0657188307925812,-0.2891550266687399,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
17,17,121.12041,-2078.4129371929635,1.76106024,1.53330595,0.18476530448970152,35,17,2.6175741269999997,-0.1242232162150994,-0.1241153530042471,0.2763858312713351,-0.094759359005606,-0.2763858312713351,0.094759359005606,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687399,-0.0657188307925812,-0.2891550266687399,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
18,18,122.12041,-2078.3919844264747,1.797396437,1.534983978,0.2057180709784916,37,18,2.758101693,-0.1242232162150995,-0.1241153530042471,0.2763858312713351,-0.094759359005606,-0.2763858312713351,0.094759359005606,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925812,-0.2891550266687398,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
19,19,123.12041,-2078.370215318435,1.834443186,1.536221014,0.22748717901822602,39,19,2.897462347,-0.1242232162150995,-0.1241153530042472,0.2763858312713351,-0.0947593590056059,-0.2763858312713351,0.0947593590056059,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687399,-0.0657188307925812,-0.2891550266687399,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
20,20,124.12041,-2078.347629868844,1.871432933,1.536425933,0.2500726286093595,40,20,3.0351350669999997,-0.1242232162150995,-0.1241153530042471,0.2763858312713351,-0.0947593590056059,-0.2763858312713351,0.0947593590056059,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983782,0.0967597547384391,-0.2891550266687399,-0.0657188307925812,-0.2891550266687399,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
21,21,104.12040999999999,-2078.597702497453,1.447839482,1.447839482,0.0,0,21,0.3128432658,-0.1242232162150995,-0.1241153530042475,0.27638583127133504,-0.0947593590056064,-0.27638583127133504,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925811,-0.2891550266687398,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
22,22,103.12040999999999,-2078.5968861559013,1.46069739,1.441721613,0.0008163415518538386,2,22,0.3597199101,-0.1242232162150995,-0.1241153530042475,0.27638583127133504,-0.0947593590056064,-0.27638583127133504,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925811,-0.2891550266687398,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
23,23,102.12040999999999,-2078.5947092450974,1.477306844,1.435506264,0.002993252355736331,4,23,0.46404834710000004,-0.1242232162150995,-0.1241153530042475,0.2763858312713349,-0.0947593590056063,-0.2763858312713349,0.0947593590056063,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925812,-0.2891550266687398,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
24,24,101.12040999999999,-2078.5908996511903,1.498306498,1.429504128,0.006802846262871753,6,24,0.5969107809,-0.1242232162150995,-0.1241153530042475,0.2763858312713349,-0.0947593590056063,-0.2763858312713349,0.0947593590056063,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925812,-0.2891550266687398,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
25,25,100.12040999999999,-2078.5857294880307,1.523433637,1.423681971,0.011973009422490577,8,25,0.7436531309000001,-0.1242232162150996,-0.1241153530042475,0.2763858312713348,-0.0947593590056063,-0.2763858312713348,0.0947593590056063,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925811,-0.2891550266687398,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
26,26,99.12040999999999,-2078.5789266417687,1.552429391,1.418044904,0.018775855684452836,10,26,0.8977356997,-0.1242232162150996,-0.1241153530042474,0.2763858312713348,-0.0947593590056063,-0.2763858312713348,0.0947593590056063,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687397,-0.0657188307925811,-0.2891550266687397,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
27,27,98.12040999999999,-2078.570491112403,1.58524264,1.412487809,0.02721138505012277,12,27,1.056187458,-0.1242232162150996,-0.1241153530042474,0.2763858312713348,-0.0947593590056063,-0.2763858312713348,0.0947593590056063,0.0,0.0,0.0,0.0,0.0,0.0,0.09684384439837801,0.09675975473843901,-0.2891550266687397,-0.0657188307925811,-0.2891550266687397,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
28,28,97.12040999999999,-2078.560695013785,1.621728467,1.407315777,0.03700748366827611,14,28,1.217475179,-0.1242232162150996,-0.1241153530042474,0.2763858312713346,-0.0947593590056063,-0.2763858312713346,0.0947593590056063,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687397,-0.06571883079258099,-0.2891550266687397,-0.06571883079258099,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
29,29,96.12040999999999,-2078.5489941182136,1.661519811,1.402353681,0.04870837923954241,16,29,1.3807619580000001,-0.1242232162150997,-0.1241153530042474,0.2763858312713346,-0.0947593590056064,-0.2763858312713346,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.09675975473843901,-0.2891550266687396,-0.06571883079258099,-0.2891550266687396,-0.06571883079258099,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
30,30,95.12040999999999,-2078.5359326533894,1.704498784,1.397683984,0.06176984406374686,18,30,1.545445856,-0.1242232162150996,-0.1241153530042474,0.2763858312713346,-0.0947593590056063,-0.2763858312713346,0.0947593590056063,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.09675975473843901,-0.2891550266687396,-0.0657188307925811,-0.2891550266687396,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
31,31,94.12040999999999,-2078.521238505463,1.750297521,1.393552296,0.07646399199029474,20,31,1.7111474580000001,-0.1242232162150997,-0.1241153530042474,0.2763858312713346,-0.0947593590056064,-0.2763858312713346,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687397,-0.0657188307925811,-0.2891550266687397,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
32,32,93.12040999999999,-2078.504639560582,1.798763662,1.389945891,0.09306293687131983,22,32,1.8773976380000001,-0.1242232162150997,-0.1241153530042474,0.2763858312713346,-0.0947593590056064,-0.2763858312713346,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687396,-0.0657188307925811,-0.2891550266687396,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
33,33,92.12040999999999,-2078.486680046449,1.849645401,1.386813369,0.11102245100437358,24,33,2.04428009,-0.1242232162150997,-0.1241153530042474,0.2763858312713346,-0.0947593590056064,-0.2763858312713346,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687395,-0.0657188307925811,-0.2891550266687395,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
34,34,91.12040999999999,-2078.4668157353626,1.902637655,1.38404915,0.1308867620905403,26,34,2.211551134,-0.1242232162150997,-0.1241153530042474,0.2763858312713346,-0.0947593590056064,-0.2763858312713346,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687396,-0.0657188307925811,-0.2891550266687396,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
35,35,90.12040999999999,-2078.4450466273224,1.95763631,1.381852358,0.15265587013072945,28,35,2.379181459,-0.1242232162150997,-0.1241153530042475,0.2763858312713345,-0.0947593590056064,-0.2763858312713345,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687397,-0.0657188307925811,-0.2891550266687397,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
36,36,89.12040999999999,-2078.42191695003,2.014412922,1.380307496,0.17578554742294727,30,36,2.547140193,-0.1242232162150997,-0.1241153530042474,0.2763858312713345,-0.0947593590056064,-0.2763858312713345,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687397,-0.0657188307925811,-0.2891550266687397,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
37,37,88.12040999999999,-2078.396882475784,2.072702157,1.379464034,0.20082002166918755,32,37,2.71523529,-0.1242232162150997,-0.1241153530042474,0.2763858312713345,-0.0947593590056064,-0.2763858312713345,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983782,0.0967597547384391,-0.2891550266687397,-0.0657188307925811,-0.2891550266687397,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
38,38,87.12040999999999,-2078.3699432045846,2.132405826,1.379364307,0.2277592928685408,34,38,2.883422977,-0.1242232162150997,-0.1241153530042474,0.2763858312713345,-0.0947593590056065,-0.2763858312713345,0.0947593590056065,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687397,-0.0657188307925811,-0.2891550266687397,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
39,39,86.12040999999999,-2078.341371250282,2.193335046,1.380102133,0.25633124717114697,36,39,3.051543877,-0.1242232162150997,-0.1241153530042474,0.2763858312713344,-0.0947593590056064,-0.2763858312713344,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384392,-0.2891550266687396,-0.0657188307925811,-0.2891550266687396,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
40,40,85.12040999999999,-2078.310894499026,2.25534267,1.381281577,0.28680799842732085,38,40,3.219758014,-0.1242232162150997,-0.1241153530042474,0.2763858312713344,-0.0947593590056064,-0.2763858312713344,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983782,0.0967597547384391,-0.2891550266687396,-0.0657188307925811,-0.2891550266687396,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
