,i,parm,energy,PC_s,PC_f,dE,Unnamed: 0,frame,error,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5
0,0,104.12040999999999,-2078.597702497453,1.447839482,1.447839482,0.0,1,0,0.3128432658,-0.1242232162150995,-0.1241153530042475,0.27638583127133504,-0.0947593590056064,-0.27638583127133504,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925811,-0.2891550266687398,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
1,1,105.12041,-2078.597158269752,1.440169009,1.454385971,0.00054422770108431,3,1,0.34616012259999995,-0.1242232162150995,-0.1241153530042475,0.27638583127133504,-0.0947593590056064,-0.27638583127133504,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925811,-0.2891550266687398,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
2,2,106.12041,-2078.594981358948,1.436406901,1.460758703,0.0027211385049668024,5,2,0.4409895271,-0.1242232162150995,-0.1241153530042475,0.27638583127133504,-0.0947593590056063,-0.27638583127133504,0.0947593590056063,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983782,0.0967597547384391,-0.2891550266687398,-0.0657188307925811,-0.2891550266687398,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
3,3,107.12041,-2078.591715992742,1.43677039,1.467108916,0.005986504711017915,7,3,0.5662589256,-0.1242232162150995,-0.1241153530042474,0.27638583127133504,-0.0947593590056063,-0.27638583127133504,0.0947593590056063,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983782,0.0967597547384391,-0.2891550266687398,-0.0657188307925812,-0.2891550266687398,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
4,4,108.12041,-2078.5868179434333,1.441332454,1.473667683,0.01088455401986721,9,4,0.7053359585,-0.1242232162150994,-0.1241153530042474,0.2763858312713349,-0.0947593590056064,-0.2763858312713349,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925812,-0.2891550266687398,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
5,5,109.12041,-2078.5805593248715,1.449532292,1.479813511,0.017143172581654653,11,5,0.8506548516,-0.1242232162150995,-0.1241153530042474,0.27638583127133504,-0.0947593590056064,-0.27638583127133504,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925811,-0.2891550266687398,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
6,6,110.12041,-2078.573212250908,1.461574075,1.48616246,0.02449024654515597,13,6,0.9990399081999999,-0.1242232162150995,-0.1241153530042474,0.27638583127133504,-0.0947593590056064,-0.27638583127133504,0.0947593590056064,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925811,-0.2891550266687398,-0.0657188307925811,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
7,7,111.12041,-2078.564504607692,1.476879191,1.492315402,0.033197889761140686,15,7,1.148811201,-0.1242232162150995,-0.1241153530042474,0.2763858312713351,-0.0947593590056062,-0.2763858312713351,0.0947593590056062,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687398,-0.0657188307925812,-0.2891550266687398,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
8,8,112.12041,-2078.5544363952235,1.495354434,1.498201847,0.043266102229608805,17,8,1.298941365,-0.1242232162150995,-0.1241153530042474,0.2763858312713351,-0.0947593590056062,-0.2763858312713351,0.0947593590056062,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.2891550266687399,-0.0657188307925812,-0.2891550266687399,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
9,9,113.12041,-2078.543279727353,1.516503556,1.50354672,0.05442277010024554,19,9,1.4489349759999999,-0.1242232162150994,-0.1241153530042474,0.2763858312713351,-0.0947593590056062,-0.2763858312713351,0.0947593590056062,0.0,0.0,0.0,0.0,0.0,0.0,0.0968438443983781,0.0967597547384391,-0.28915502666874,-0.0657188307925812,-0.28915502666874,-0.0657188307925812,-0.5946512512072093,-0.7638608463980897,0.2309512600812144,0.4483047887214351,0.2309512600812144,0.4483047887214351
