,frame,error,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5
0,7,0.4746848042,0.0110896002884311,0.0111042119011112,0.1255018474877467,-0.0365532943046229,-0.1254940943932016,0.0365426082971329,0.3257874109255445,-0.3257384900478556,2.5285839313e-05,1.45577609436e-05,2.57716647261e-05,1.38967493575e-05,-0.0084967074216498,-0.0085094133404852,-0.3806873593461105,0.4057158546743203,-0.3807008071537258,0.4057371164131621,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
1,8,0.4896423687,0.0110896002884311,0.0111042119011112,0.1255018474877467,-0.0365532943046229,-0.1254940943932016,0.0365426082971329,0.3257874109255445,-0.3257384900478556,2.5285839313e-05,1.45577609436e-05,2.57716647261e-05,1.38967493575e-05,-0.0084967074216498,-0.0085094133404852,-0.3806873593461105,0.4057158546743203,-0.3807008071537258,0.4057371164131621,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
2,9,0.5015716051,0.018870152986098,0.018869187947565,0.1273163623838498,-0.0135373642931342,-0.1277456840976455,0.0134869384724578,0.3128633394487809,-0.3128040759038701,3.42616956291e-05,2.6702110982e-06,3.3343030655e-05,9.716053103e-07,-0.0134556781961928,-0.0134580104697233,-0.3641048326385444,0.425620375609662,-0.3637862856572643,0.4255813831667965,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
3,10,0.5124400982,0.0279302057558504,0.0279148014341209,0.130375493225296,0.0064736127134059,-0.1313901088632807,-0.0063545201743719,0.3004432414250383,-0.3003791314146331,4.02052057579e-05,-1.17597942462e-05,3.83093109553e-05,-1.20244174911e-05,-0.0183611774306036,-0.0183608334056232,-0.3468027786469444,0.4416835017547145,-0.345963754071057,0.4414335153893251,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
4,11,0.5240808875,0.0372696909820591,0.0372454402461852,0.1332855445467663,0.0224992213640871,-0.1349963775501117,-0.021941873510522,0.2879696942840944,-0.287902385823896,4.54561979861e-05,-2.44121730686e-05,4.12136163993e-05,-2.66469585348e-05,-0.0224793958039007,-0.0224762810768455,-0.3290823601894952,0.4553843144286099,-0.3275015007887653,0.4547328963593602,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
5,12,0.5368856912,0.0463839385720104,0.046353083867283,0.1356506861906498,0.0343294148417748,-0.1380960175005551,-0.0330548071706573,0.2751382084418766,-0.2750667241768155,5.03081524577e-05,-3.46711956072e-05,4.49231759668e-05,-3.73322245341e-05,-0.0255365196226922,-0.0255347195429217,-0.3108158817551219,0.4677960776524436,-0.308291144666776,0.4665026618978561,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
6,13,0.5517315567,0.0547486798846803,0.054713751362206,0.1371209742407174,0.0418662007885136,-0.1402622267197018,-0.039635935291778,0.2616171129084675,-0.261537868945396,5.69940266094e-05,-3.31239826987e-05,4.93915826873e-05,-4.54501819473e-05,-0.0273575691476757,-0.0273587431544452,-0.2917482884799166,0.4791326430942449,-0.2881123629865565,0.4769356912268605,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
7,6,0.47817438,0.014493577217397,0.014493577217397,0.1341137555107336,-0.0439006447476429,-0.1341137555107336,0.0439006447476429,0.3455139784221526,-0.3455139784221526,0.0,0.0,0.0,0.0,-0.0111132801720123,-0.0111132801720123,-0.376845089151358,0.3975772961538833,-0.376845089151358,0.3975772961538833,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
8,5,0.5035797385,-0.0002098255559761,-0.0001655050449895,0.1184108138858893,-0.0545203301935405,-0.1178013705801836,0.0546161398396014,0.3294976871645258,-0.32944607362965,2.4716743114e-05,2.71477363125e-05,2.55140091875e-05,2.78875353721e-05,0.0005280901130238,0.0004930941059697,-0.3936954716962902,0.3983178456027965,-0.3940433523038199,0.3984082943427466,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
9,4,0.5230954021,-0.0151776229960939,-0.0151022671156319,0.1042942378778932,-0.0670976729044734,-0.1037487758894443,0.066992206414656,0.3264320461560192,-0.3263650742313112,3.12400813419e-05,4.25670242585e-05,3.28863080323e-05,4.38404227447e-05,0.0141921748153153,0.0141271258211135,-0.4036580726450157,0.404033153294052,-0.403916785126365,0.4041899514279358,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
10,3,0.5428039137,-0.0293509404712691,-0.029259566395353,0.0885767453908427,-0.0806344196620458,-0.0887952051825926,0.0802485723695912,0.3269771668345272,-0.3269019379879525,3.35792250573e-05,5.76578350186e-05,3.56465796118e-05,5.89898790299e-05,0.0291727320106309,0.0290858451445754,-0.4123254676874316,0.407477952597299,-0.4122456847534751,0.4075335808536488,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
11,2,0.5642437335,-0.042274456764694,-0.0421765072859777,0.0709523186676168,-0.0929365163881774,-0.0726255929762454,0.0923159422910976,0.3288086967896082,-0.3287284073574719,3.45889924622e-05,7.13177835399e-05,3.63191525622e-05,7.21284619463e-05,0.0450975446787358,0.0449936360049822,-0.4198708286492365,0.4093698860700729,-0.419364283447634,0.4091199518212725,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
12,1,0.5897021415,-0.053880532041315,-0.0537815799578457,0.0510673443708505,-0.1033968795167819,-0.0548531380300032,0.1026517584978592,0.3308674937540659,-0.3307836185548303,3.55032196691e-05,8.30587321222e-05,3.59842715041e-05,8.27611778471e-05,0.0619097520758062,0.0617911070917283,-0.4260184482301502,0.4103896922014996,-0.4251440936645248,0.4095968797104789,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
