,i,PC_s,PC_f,fMDCM,MDCM,parm
0,0,1.447839482,1.447839482,0.3128432658,0.3128432658,104.12040999999999
1,1,1.440169009,1.454385971,0.31102453609999997,0.34616012259999995,105.12041
2,2,1.436406901,1.460758703,0.31175606079999996,0.4409895271,106.12041
3,3,1.43677039,1.467108916,0.3124702003,0.5662589256,107.12041
4,4,1.441332454,1.473667683,0.3124013934,0.7053359585,108.12041
5,5,1.449532292,1.479813511,0.3113837869,0.8506548516,109.12041
6,6,1.461574075,1.48616246,0.3096381935,0.9990399081999999,110.12041
7,7,1.476879191,1.492315402,0.30731005219999996,1.148811201,111.12041
8,8,1.495354434,1.498201847,0.3046866584,1.298941365,112.12041
9,9,1.516503556,1.50354672,0.3018074705,1.4489349759999999,113.12041
10,10,1.540629518,1.50868842,0.29883261850000004,1.598468559,114.12041
11,11,1.567106464,1.513318524,0.2958909989,1.74716563,115.12041
12,12,1.59543727,1.517447861,0.2929909882,1.895042647,116.12041
13,13,1.625665992,1.521376433,0.2901276243,2.042053165,117.12041
14,14,1.657737536,1.525287974,0.28736334410000003,2.187924942,118.12041
15,15,1.691211934,1.528687028,0.28471931,2.3325851930000003,119.12041
16,16,1.725480729,1.531401557,0.2821152366,2.475720735,120.12041
17,17,1.76106024,1.53330595,0.2796764003,2.6175741269999997,121.12041
18,18,1.797396437,1.534983978,0.2773194364,2.758101693,122.12041
19,19,1.834443186,1.536221014,0.2750764081,2.897462347,123.12041
20,20,1.871432933,1.536425933,0.2727629294,3.0351350669999997,124.12041
21,21,1.447839482,1.447839482,0.3128432658,0.3128432658,104.12040999999999
22,22,1.46069739,1.441721613,0.3210014217,0.3597199101,103.12040999999999
23,23,1.477306844,1.435506264,0.3322551932,0.46404834710000004,102.12040999999999
24,24,1.498306498,1.429504128,0.34579687859999997,0.5969107809,101.12040999999999
25,25,1.523433637,1.423681971,0.3607944428,0.7436531309000001,100.12040999999999
26,26,1.552429391,1.418044904,0.37655940159999995,0.8977356997,99.12040999999999
27,27,1.58524264,1.412487809,0.39268744969999997,1.056187458,98.12040999999999
28,28,1.621728467,1.407315777,0.4088389469,1.217475179,97.12040999999999
29,29,1.661519811,1.402353681,0.424813031,1.3807619580000001,96.12040999999999
30,30,1.704498784,1.397683984,0.4404113135,1.545445856,95.12040999999999
31,31,1.750297521,1.393552296,0.4555473497,1.7111474580000001,94.12040999999999
32,32,1.798763662,1.389945891,0.47015366799999997,1.8773976380000001,93.12040999999999
33,33,1.849645401,1.386813369,0.4842306025,2.04428009,92.12040999999999
34,34,1.902637655,1.38404915,0.49762576979999995,2.211551134,91.12040999999999
35,35,1.95763631,1.381852358,0.5104951264,2.379181459,90.12040999999999
36,36,2.014412922,1.380307496,0.5227520779,2.547140193,89.12040999999999
37,37,2.072702157,1.379464034,0.5344917934000001,2.71523529,88.12040999999999
38,38,2.132405826,1.379364307,0.5456538306000001,2.883422977,87.12040999999999
39,39,2.193335046,1.380102133,0.5563007788000001,3.051543877,86.12040999999999
40,40,2.25534267,1.381281577,0.5664144199,3.219758014,85.12040999999999
