,frame,error,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,x_c6,x_c7,x_c8,x_c9,x_c10,x_c11,x_c12,x_c13,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,y_c6,y_c7,y_c8,y_c9,y_c10,y_c11,y_c12,y_c13,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,z_c6,z_c7,z_c8,z_c9,z_c10,z_c11,z_c12,z_c13,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5,q_c6,q_c7,q_c8,q_c9,q_c10,q_c11,q_c12,q_c13
0,21,0.4433138395,-0.3134428296337027,-0.0235606644316968,-0.0052113913846868,-0.0732051409162354,-0.4545204699097027,-0.192361815909594,-0.2015653984116072,0.2512945332083381,-0.2043958867569851,-0.2132022179679841,-0.0852504200631739,-0.1774335822185616,-0.0234679508677407,0.2179199028753463,-0.008790745781662,-0.0135618401745192,0.0702095500830033,0.147671139885576,-0.1309265909419779,0.332278962546445,0.2829769177825581,-0.2236677213139752,-0.181530486476202,-0.1809162904948712,-0.0446361195910923,0.0749746646207281,-0.2379983429214164,-0.1732855670059171,-0.3290439859534054,-0.1137842059849412,-0.3145797748541952,-0.1260286501569671,-0.2599685044567636,-0.1069322429529926,-0.0849162534753757,-0.1399068673785407,0.1985181792821848,-0.0004055488748179,-0.1242852202338149,-0.3274415832776955,-0.0345541928236738,0.0058794644937854,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
1,0,0.4433138395,-0.3134428296337027,-0.0235606644316968,-0.0052113913846868,-0.0732051409162354,-0.4545204699097027,-0.192361815909594,-0.2015653984116072,0.2512945332083381,-0.2043958867569851,-0.2132022179679841,-0.0852504200631739,-0.1774335822185616,-0.0234679508677407,0.2179199028753463,-0.008790745781662,-0.0135618401745192,0.0702095500830033,0.147671139885576,-0.1309265909419779,0.332278962546445,0.2829769177825581,-0.2236677213139752,-0.181530486476202,-0.1809162904948712,-0.0446361195910923,0.0749746646207281,-0.2379983429214164,-0.1732855670059171,-0.3290439859534054,-0.1137842059849412,-0.3145797748541952,-0.1260286501569671,-0.2599685044567636,-0.1069322429529926,-0.0849162534753757,-0.1399068673785407,0.1985181792821848,-0.0004055488748179,-0.1242852202338149,-0.3274415832776955,-0.0345541928236738,0.0058794644937854,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
2,22,0.4436464783,-0.3134428296337027,-0.0235606644316968,-0.0052113913846868,-0.0732051409162354,-0.4545204699097027,-0.192361815909594,-0.2015653984116072,0.2512945332083381,-0.2043958867569851,-0.2132022179679841,-0.0852504200631739,-0.1774335822185616,-0.0234679508677407,0.2179199028753463,-0.008790745781662,-0.0135618401745192,0.0702095500830033,0.147671139885576,-0.1309265909419779,0.332278962546445,0.2829769177825581,-0.2236677213139752,-0.181530486476202,-0.1809162904948712,-0.0446361195910923,0.0749746646207281,-0.2379983429214164,-0.1732855670059171,-0.3290439859534054,-0.1137842059849412,-0.3145797748541952,-0.1260286501569671,-0.2599685044567636,-0.1069322429529926,-0.0849162534753757,-0.1399068673785407,0.1985181792821848,-0.0004055488748179,-0.1242852202338149,-0.3274415832776955,-0.0345541928236738,0.0058794644937854,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
3,1,0.4418648238,-0.3134428296337027,-0.0235606644316968,-0.0052113913846868,-0.0732051409162354,-0.4545204699097027,-0.192361815909594,-0.2015653984116072,0.2512945332083381,-0.2043958867569851,-0.2132022179679841,-0.0852504200631739,-0.1774335822185616,-0.0234679508677407,0.2179199028753463,-0.008790745781662,-0.0135618401745192,0.0702095500830033,0.147671139885576,-0.1309265909419779,0.332278962546445,0.2829769177825581,-0.2236677213139752,-0.181530486476202,-0.1809162904948712,-0.0446361195910923,0.0749746646207281,-0.2379983429214164,-0.1732855670059171,-0.3290439859534054,-0.1137842059849412,-0.3145797748541952,-0.1260286501569671,-0.2599685044567636,-0.1069322429529926,-0.0849162534753757,-0.1399068673785407,0.1985181792821848,-0.0004055488748179,-0.1242852202338149,-0.3274415832776955,-0.0345541928236738,0.0058794644937854,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
4,23,0.4454965817,-0.3132009743237774,-0.0255929048452764,-0.0035392016551932,-0.0716021386581106,-0.4542426150487177,-0.1912853277534574,-0.2001298041288322,0.2511140767163874,-0.2037210570693587,-0.2129521467599685,-0.0833986449411811,-0.1771131263840789,-0.0246694150866314,0.2186883571721058,-0.008990493336445,-0.0133284127931222,0.0678083446854973,0.1441604026656517,-0.130799356754714,0.3291273492403508,0.2803719165105799,-0.2235199714838181,-0.1818489545905052,-0.1823658239670306,-0.0444357361505131,0.0737136603099471,-0.2376914310062395,-0.1737252500085848,-0.3293142174626743,-0.114937508477674,-0.3142758535329931,-0.1273369367428563,-0.2600936625245884,-0.1135461370290747,-0.0912825784357002,-0.1396383060582638,0.1954496354447272,-0.0039191838177658,-0.1276296685060513,-0.3298157389727284,-0.0345394587920245,0.0054117724908361,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
5,2,0.439807952,-0.3140387224184957,-0.0246356678637128,-0.0029317898148519,-0.0721108949298464,-0.4546458145047638,-0.191440422510409,-0.2000386307373423,0.2511658502159306,-0.2041198486808163,-0.2126139040583619,-0.0838540009436511,-0.1766135006110639,-0.0241959504198911,0.2180872716716128,-0.0089893756129078,-0.0133433928829493,0.0668377853412228,0.1449671081846088,-0.1308196536024692,0.3291138567746959,0.2803572652076496,-0.2235985906143492,-0.1822454529044506,-0.1817408684623703,-0.0437092588290773,0.0729356664078878,-0.2373795853753514,-0.1733829626020423,-0.3285376580541143,-0.1154072057262212,-0.3151834065589846,-0.1264049861302085,-0.2606270231799472,-0.1138726048829508,-0.0912312654278407,-0.1396881510933222,0.195148428947979,-0.0036222065833382,-0.1269000111282575,-0.3305098102328649,-0.0344160831912637,0.0054433475847788,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
6,24,0.4488165381,-0.3130559183521817,-0.0275748951834009,-0.0019077397491454,-0.0700254351652124,-0.4538627490429976,-0.1899751235514223,-0.1987291917952262,0.2509214614254602,-0.2029028365134865,-0.2128355103782895,-0.0818899770063818,-0.1765931701973277,-0.0258450410935036,0.2196070313830306,-0.0091127816890024,-0.0131140764368115,0.0653949411006587,0.1406785009725438,-0.1305646679423331,0.3259970691485433,0.2777847131943949,-0.2233852486022921,-0.182297817707562,-0.1837329737731593,-0.044319588269437,0.0725181781560023,-0.2373969221889682,-0.1742099607270082,-0.3297552282444479,-0.1159680125656216,-0.3138386369978748,-0.1287728522558178,-0.2602933996935171,-0.1199883886083336,-0.0977460810172402,-0.1393083670931962,0.1924356758571715,-0.0074434824576166,-0.1309683575392213,-0.332133437439862,-0.0345429659981325,0.0051053244624597,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
7,3,0.4392135628,-0.3147428467370703,-0.0255071985528307,-0.0007231252105083,-0.0709710423192344,-0.4547891242599178,-0.1906407656740466,-0.1984977256461559,0.2510691280629824,-0.2039674528008973,-0.2119422414285333,-0.0825870811239932,-0.1757382928773859,-0.0248437942028048,0.2182371258730428,-0.0090950126108154,-0.0132162532895475,0.0635240326872663,0.1421993719041714,-0.1306372460467048,0.3260228601904046,0.2777736436906123,-0.2235459917904978,-0.1829583129852576,-0.1825290685061662,-0.0430147773494636,0.0711512097970923,-0.2368466966685816,-0.1735893650555342,-0.3280024001331309,-0.1169428871873498,-0.3157797008279991,-0.1267435972440233,-0.261317283144905,-0.120926535210393,-0.0974664293413157,-0.1394565336416573,0.1916741386587838,-0.006700272364259,-0.1293729511355678,-0.3336768007242691,-0.0342653501923796,0.0050672489274742,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
8,25,0.4525598582,-0.3129480831413979,-0.0295028639665575,-0.0003625081872781,-0.0684245776525622,-0.4534259517039299,-0.1886551439364302,-0.197405816068344,0.2507216478227385,-0.2020521945461616,-0.2127730583852073,-0.0805892079781777,-0.1759376775724766,-0.0269567695599141,0.2206259945250192,-0.0091695546724752,-0.012906563504375,0.0630252106004715,0.1372155819201143,-0.1302389556584515,0.3229392133334382,0.2752240051323444,-0.2232587385150732,-0.1828385419062897,-0.1850243471759289,-0.0442859207065504,0.0713731172476098,-0.2371401835653557,-0.1747681556865667,-0.3302900836567808,-0.1169349367305239,-0.3134248360258302,-0.1302497152754515,-0.2605128184625259,-0.1263019338731577,-0.1041628165233981,-0.1389247537853988,0.1894444007756244,-0.0108966499069316,-0.1342414739624355,-0.3344750816458617,-0.0345852557391774,0.0049424403298487,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
9,4,0.4333556795,-0.3155998700246556,-0.0261567120762962,0.0014759386888645,-0.0697974411173842,-0.4549507904315224,-0.189967595977974,-0.1970297571788642,0.2510027547103948,-0.2039183971659203,-0.2111562230262491,-0.081437751218003,-0.1748131824402238,-0.0254559009087118,0.2183687581674843,-0.0091199079733525,-0.0131271813766523,0.0601767760019335,0.1394358139909035,-0.1304135138601176,0.3230088207501048,0.2752105110132217,-0.2235138963576342,-0.1836976923769268,-0.183221086129726,-0.0423990749610968,0.0694815699076477,-0.2363873119068789,-0.1738669115166465,-0.3274572338612283,-0.1183796672486294,-0.316317241049735,-0.1271166961323578,-0.2620833005281666,-0.1279408461401794,-0.1035936837527442,-0.1392097690543452,0.1881130227143403,-0.0096944021256646,-0.1318310332770283,-0.3368142609738197,-0.0340932318351961,0.0047638017015646,0.7009004938443082,-0.9891685370720623,-0.9957486780186164,0.9247919900323367,0.2601787127880094,-0.805871679189465,0.8690207145739897,0.0176786398462711,0.3144271706193382,-0.3998535009463813,0.4550182921582518,-0.499605228277883,0.072606333909565,0.075625275732338
