,frame,error,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,x_c6,x_c7,x_c8,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,y_c6,y_c7,y_c8,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,z_c6,z_c7,z_c8,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5,q_c6,q_c7,q_c8
0,21,0.4280957013,0.0,1e-16,0.0,0.1821754208843122,0.3509763265108631,-0.0259579777547689,-0.1821754208843122,-0.3509763265108631,0.0259579777547689,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359255,-0.1918735492098183,-0.0797345128237594,-0.3561057722359255,-0.1918735492098183,-0.0797345128237594,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
1,22,0.4180950193,0.0,1e-16,0.0,0.1821754208843122,0.3509763265108631,-0.0259579777547689,-0.1821754208843122,-0.3509763265108631,0.0259579777547689,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359255,-0.1918735492098183,-0.0797345128237594,-0.3561057722359255,-0.1918735492098183,-0.0797345128237594,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
2,23,0.4140927166,0.0,1e-16,0.0,0.1821754208843121,0.3509763265108631,-0.0259579777547689,-0.1821754208843121,-0.3509763265108631,0.0259579777547689,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359255,-0.1918735492098183,-0.0797345128237594,-0.3561057722359255,-0.1918735492098183,-0.0797345128237594,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
3,24,0.4166305332,0.0,1e-16,0.0,0.182175420884312,0.3509763265108631,-0.0259579777547688,-0.182175420884312,-0.3509763265108631,0.0259579777547688,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359255,-0.1918735492098183,-0.0797345128237596,-0.3561057722359255,-0.1918735492098183,-0.0797345128237596,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
4,25,0.4257076665,0.0,1e-16,0.0,0.182175420884312,0.350976326510863,-0.0259579777547689,-0.182175420884312,-0.350976326510863,0.0259579777547689,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359255,-0.1918735492098184,-0.0797345128237596,-0.3561057722359255,-0.1918735492098184,-0.0797345128237596,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
5,26,0.4410712257,0.0,1e-16,0.0,0.182175420884312,0.350976326510863,-0.0259579777547688,-0.182175420884312,-0.350976326510863,0.0259579777547688,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359255,-0.1918735492098183,-0.0797345128237597,-0.3561057722359255,-0.1918735492098183,-0.0797345128237597,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
6,27,0.4621660261,0.0,1e-16,0.0,0.1821754208843119,0.3509763265108629,-0.0259579777547688,-0.1821754208843119,-0.3509763265108629,0.0259579777547688,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359254,-0.1918735492098183,-0.0797345128237597,-0.3561057722359254,-0.1918735492098183,-0.0797345128237597,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
7,28,0.4883147622,0.0,1e-16,0.0,0.1821754208843119,0.350976326510863,-0.0259579777547688,-0.1821754208843119,-0.350976326510863,0.0259579777547688,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359255,-0.1918735492098184,-0.0797345128237597,-0.3561057722359255,-0.1918735492098184,-0.0797345128237597,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
8,0,0.4280957013,0.0,1e-16,0.0,0.1821754208843122,0.3509763265108631,-0.0259579777547689,-0.1821754208843122,-0.3509763265108631,0.0259579777547689,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359255,-0.1918735492098183,-0.0797345128237594,-0.3561057722359255,-0.1918735492098183,-0.0797345128237594,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
9,29,0.5188030758,0.0,1e-16,0.0,0.1821754208843119,0.3509763265108629,-0.0259579777547688,-0.1821754208843119,-0.3509763265108629,0.0259579777547688,0.490576820112244,-0.490576820112244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1266675930481733,-0.1266675930481733,0.4189769326964639,-0.3561057722359254,-0.1918735492098183,-0.0797345128237597,-0.3561057722359254,-0.1918735492098183,-0.0797345128237597,-0.0977210964312706,-0.0977210964312706,-0.0481610802854957,-0.9999995187721926,0.5127966289056591,0.6090045264405519,-0.9999995187721926,0.5127966289056591,0.6090045264405519
