frame,error,x_c0,y_c0,z_c0,q_c0,x_c1,y_c1,z_c1,q_c1,x_c2,y_c2,z_c2,q_c2,x_c3,y_c3,z_c3,q_c3,x_c4,y_c4,z_c4,q_c4,x_c5,y_c5,z_c5,q_c5,x_c6,y_c6,z_c6,q_c6,x_c7,y_c7,z_c7,q_c7,x_c8,y_c8,z_c8,q_c8,x_c9,y_c9,z_c9,q_c9,x_c10,y_c10,z_c10,q_c10,x_c11,y_c11,z_c11,q_c11,x_c12,y_c12,z_c12,q_c12,x_c13,y_c13,z_c13,q_c13,x_c14,y_c14,z_c14,q_c14,x_c15,y_c15,z_c15,q_c15,x_c16,y_c16,z_c16,q_c16,x_c17,y_c17,z_c17,q_c17,x_c18,y_c18,z_c18,q_c18,x_c19,y_c19,z_c19,q_c19,x_c20,y_c20,z_c20,q_c20,x_c21,y_c21,z_c21,q_c21,x_c22,y_c22,z_c22,q_c22,x_c23,y_c23,z_c23,q_c23
0,1.319362965,-0.1429486616171302,-0.0133620392838589,-0.3026295291682718,0.6959175615854226,0.0412860670281709,-0.0443034895923707,-0.5533313082405683,-0.4294665048044459,-0.0224635762950448,-0.0757204919900032,-0.0938788121590981,0.7289443612696791,-0.0550246097779932,-0.0892425349022947,-0.2932292293958323,-0.8899528116456963,0.1073566483495438,-0.0175635236717597,-0.0913585392152541,0.482117490354428,0.1816391249655598,-0.0435102443577991,-0.3400451260687405,-0.6035297564939646,-0.052422078166435,-0.00982622611489,-0.3912020314078942,0.0604057803354635,0.0392476411886437,-0.0117805482422325,0.2774656176423216,0.6991174418445399,-0.3709392303456333,-0.0008869912507736,0.1758270265886518,-0.4131324281244263,0.1905535736853808,-0.0119766289986334,0.1466038072769192,-0.928601460394253,-0.2292693880101259,-0.4379319188232929,-0.274624793756347,-0.1057946580878595,0.1728682297751432,-0.0104431280549748,0.2277641565447062,0.9961038253671308,0.3927832400928657,-0.1882673604911517,0.3507501764038664,-0.3737552305035935,0.0014541156567858,-0.0512052294552724,0.2801400158910236,0.9714181100989372,0.0368257885469316,0.2182573694779653,-0.0491920047478778,-0.997339824246356,-0.2600480915576567,-0.0389955735861083,-0.255931367290277,0.7637225416907655,0.0282114131119717,-0.2796990605782878,-0.0617801508268655,-0.9974375214017446,-0.3538074020758772,0.0625526265921826,-0.2596577426441137,-0.4871145088925188,0.4015896990174506,-0.2828629598749334,-0.2876645790580242,0.4662300369825688,0.008433725975872,0.0602565552817108,0.5393337913498655,0.6223673236702755,-0.3000032012794953,-0.0632328360741187,-0.0905733043739709,0.9509229066582735,-0.3546638606221878,-0.0887980194920893,-0.1593725691751273,-0.9922381659518612,-0.0450043995518174,-0.0534328545848565,-0.3968627916784431,-0.6086911331096487,0.0035960730339062,-0.0179711732814638,-0.0472537420368957,0.3897866237988844
1,1.174944808,-0.1438594914505835,-0.0128247636437463,-0.3016512618711896,0.6959175615854226,0.0418673844298404,-0.0447283675657204,-0.554031717388616,-0.4294665048044459,-0.0238287844907445,-0.0755856303000266,-0.0934790012744124,0.7289443612696791,-0.0538304268269209,-0.0894096669279542,-0.2941885194169421,-0.8899528116456963,0.1085252546271019,-0.0176760980542325,-0.0915680151113726,0.482117490354428,0.1803308142404135,-0.0435012329816961,-0.3400482504987679,-0.6035297564939646,-0.0523005324188989,-0.0097677746556921,-0.3910919912377779,0.0604057803354635,0.0397707585137342,-0.0130578140301074,0.2780759453146888,0.6991174418445399,-0.371543303862795,0.0001619161527761,0.1752071343214923,-0.4131324281244263,0.1899054351557527,-0.0105849085239529,0.1457359187276498,-0.928601460394253,-0.2288874196466016,-0.4381853878479411,-0.2747292390753533,-0.1057946580878595,0.1714431549225002,-0.0093986180732659,0.2276615536303001,0.9961038253671308,0.3936981442671232,-0.1888976913234003,0.350755407342157,-0.3737552305035935,0.0025872409701554,-0.0528881506837026,0.2810365874048698,0.9714181100989372,0.035252159879246,0.219793464431627,-0.0499982149279269,-0.997339824246356,-0.2586071683256569,-0.04051033225565,-0.2546326214186814,0.7637225416907655,0.0265822414419124,-0.2778817288393672,-0.0625758385341426,-0.9974375214017446,-0.3552364077743598,0.064125811434132,-0.2604319810600941,-0.4871145088925188,0.4026702792690268,-0.2843468876665135,-0.2867590364253593,0.4662300369825688,0.0082534309609065,0.0584687524526894,0.5413066946918893,0.6223673236702755,-0.2979339836203302,-0.0648452625753632,-0.0899709391378332,0.9509229066582735,-0.3562841152714535,-0.0872409879387649,-0.1605718171947101,-0.9922381659518612,-0.04388069022057,-0.0551643972788561,-0.3962669723809289,-0.6086911331096487,0.0027434821938232,-0.0165174372784126,-0.0477735562454511,0.3897866237988844
2,1.219825861,-0.1438264883778801,-0.0128755011888046,-0.3026911056967502,0.6959175615854226,0.0417463782245418,-0.0447052473379566,-0.5530724047524798,-0.4294665048044459,-0.0243435022934468,-0.0759310536199303,-0.0944437427781934,0.7289443612696791,-0.0535211642721469,-0.0890819183527766,-0.2936271141670249,-0.8899528116456963,0.1080660673867495,-0.0185812562584703,-0.0914470806442023,0.482117490354428,0.1808056914313674,-0.0426059844707026,-0.3404361396894583,-0.6035297564939646,-0.052356313137563,-0.0099079564382389,-0.3911475073411581,0.0604057803354635,0.0402744657288587,-0.0122181786592652,0.2789842485737018,0.6991174418445399,-0.3721671939004418,-0.0005902681199989,0.1743252472522478,-0.4131324281244263,0.1892779021697038,-0.0114404412505834,0.1445467174139818,-0.928601460394253,-0.2290673122888226,-0.4382930618208183,-0.274968968541475,-0.1057946580878595,0.1725216284613949,-0.0090751437215938,0.228064711464487,0.9961038253671308,0.392890836564489,-0.1890586453003041,0.3504471351492471,-0.3737552305035935,0.0033950311036109,-0.0519262778240099,0.2824613754090564,0.9714181100989372,0.0340313438485654,0.2187342943069937,-0.0513766219188335,-0.997339824246356,-0.2575101295904271,-0.0394670950279637,-0.2527057995933077,0.7637225416907655,0.0251735153878349,-0.2785901459509391,-0.064007569516309,-0.9974375214017446,-0.3574390490880929,0.0635750917633768,-0.259883221307509,-0.4871145088925188,0.4045834520737177,-0.2838936039961396,-0.2873427600331725,0.4662300369825688,0.0094099283310052,0.0590966648008066,0.5437308813603658,0.6223673236702755,-0.2952996303810714,-0.0639204032784382,-0.0905759061782706,0.9509229066582735,-0.3584742221418969,-0.0881512491717217,-0.1605999363119575,-0.9922381659518612,-0.0425411198003482,-0.056274467712986,-0.397804623440294,-0.6086911331096487,0.0016948213893762,-0.0155903239262505,-0.0466770551494581,0.3897866237988844
3,1.122217403,-0.1446277146490745,-0.0134230810851985,-0.3038602833407842,0.6959175615854226,0.0422166249851634,-0.0443160433577721,-0.5520697173713446,-0.4294665048044459,-0.0252704947332837,-0.0766021078708763,-0.0957606621030073,0.7289443612696791,-0.0526185198497656,-0.0883988620719302,-0.2927403425999009,-0.8899528116456963,0.1076365725568963,-0.0197773842400425,-0.0920598657610661,0.482117490354428,0.181207673727516,-0.041332970446233,-0.3400126023704267,-0.6035297564939646,-0.052365517843006,-0.0100895187316516,-0.3911935229622742,0.0604057803354635,0.0395879735147314,-0.0124575214875753,0.2798296326558959,0.6991174418445399,-0.3718707376535267,-0.0003607977339458,0.173483305800609,-0.4131324281244263,0.1899828137853549,-0.0111681034842798,0.1434126811002498,-0.928601460394253,-0.2290322297052479,-0.4382984364195981,-0.2747154877161185,-0.1057946580878595,0.1730480835028153,-0.0093717192328866,0.226817385677211,0.9961038253671308,0.3924630057481817,-0.188920166880594,0.3511475699989839,-0.3737552305035935,0.0031609961321968,-0.0527025545535257,0.2825488546107238,0.9714181100989372,0.0338323812913295,0.2194360269373428,-0.0514860114941959,-0.997339824246356,-0.2572995006456745,-0.0402058824871888,-0.2520274126190126,0.7637225416907655,0.0248488874974274,-0.2774690934444882,-0.0640624286385058,-0.9974375214017446,-0.358700603843943,0.064058456190937,-0.2602886803996354,-0.4871145088925188,0.4053480799313994,-0.2841300565903263,-0.2868261441532137,0.4662300369825688,0.0094754439235963,0.0584852691022964,0.5454123468342803,0.6223673236702755,-0.2936034019129303,-0.0644641487033754,-0.0901541043995835,0.9509229066582735,-0.3597240615136696,-0.087547467478869,-0.1616501137354439,-0.9922381659518612,-0.0420245999843425,-0.0574532011684236,-0.3981810024403007,-0.6086911331096487,0.0012762986676912,-0.0145658049352852,-0.0463654284184311,0.3897866237988844
4,1.094551355,-0.1444300478500896,-0.0150727932076795,-0.3050331820672609,0.6959175615854226,0.0418944540344636,-0.0430003884000357,-0.551015261960897,-0.4294665048044459,-0.025548140673018,-0.0781155359395034,-0.0969570179986091,0.7289443612696791,-0.0524440795314415,-0.0868128126508927,-0.2919545231847078,-0.8899528116456963,0.1062915734878636,-0.0206306861685471,-0.0929571709564744,0.482117490354428,0.1826400935223472,-0.0404760225330589,-0.3392542226962645,-0.6035297564939646,-0.0523421173010041,-0.0102464944616127,-0.3914730861038941,0.0604057803354635,0.0389943337102926,-0.0112335508152282,0.2802769189440776,0.6991174418445399,-0.3716218657186092,-0.0014802124199828,0.1729934919861744,-0.4131324281244263,0.1905897481177978,-0.0124060461187961,0.1427192788927663,-0.928601460394253,-0.2291380174033861,-0.4380356287121836,-0.2748663820037683,-0.1057946580878595,0.1740418454879709,-0.0108330869320086,0.2269967606578273,0.9961038253671308,0.391678380516747,-0.1879361123613373,0.3509285257937982,-0.3737552305035935,0.0034584551952536,-0.0514105180775747,0.2823377404941111,0.9714181100989372,0.0332179508067622,0.2181137821440217,-0.0511912463038839,-0.997339824246356,-0.2567219518324134,-0.0387823042638783,-0.2517174879050821,0.7637225416907655,0.0239748063791321,-0.2784020310927707,-0.0638920813997332,-0.9974375214017446,-0.3592628950311487,0.0630004158011654,-0.2592101194647255,-0.4871145088925188,0.4056314220639985,-0.283056311557576,-0.2877517289726394,0.4662300369825688,0.0107893653525791,0.0596012687429099,0.5459625337493416,0.6223673236702755,-0.2925911303714995,-0.0630355869198012,-0.091263317956494,0.9509229066582735,-0.3602950620056703,-0.0888763533148505,-0.1611280539488994,-0.9922381659518612,-0.041883053965604,-0.0570744124592433,-0.3998077723439559,-0.6086911331096487,0.0011392267752446,-0.0147742610524376,-0.0451701096608545,0.3897866237988844
5,1.224099906,-0.1448916301877858,-0.0155153593156552,-0.3062385307541821,0.6959175615854226,0.0421736963114495,-0.0426249094117366,-0.5499603969808016,-0.4294665048044459,-0.0262746627708645,-0.078415554272355,-0.0980772964011085,0.7289443612696791,-0.0517949200420748,-0.0865226951614533,-0.2911742042039597,-0.8899528116456963,0.1058970506592922,-0.0216295373255477,-0.0933418943628112,0.482117490354428,0.1830499959859696,-0.0393824547049482,-0.3390698620305611,-0.6035297564939646,-0.0523387696205822,-0.0104431610753749,-0.3915891617173074,0.0604057803354635,0.0389716112535704,-0.0107052086143811,0.2815247633528433,0.6991174418445399,-0.3718311763276272,-0.0020980377673172,0.1718161004605631,-0.4131324281244263,0.1905146891810341,-0.0128689240137622,0.1411568554189761,-0.928601460394253,-0.2293550039425589,-0.4380719945878372,-0.2749513239046384,-0.1057946580878595,0.1751982071029966,-0.01099440219509,0.2266156250490167,0.9961038253671308,0.3908303603166803,-0.187789662305027,0.3511501810013402,-0.3737552305035935,0.0033672446242243,-0.0504915053301894,0.2832321056093966,0.9714181100989372,0.0331230242405512,0.2170964936566512,-0.0517816743404164,-0.997339824246356,-0.2565033890595148,-0.0373847082310098,-0.2505543353999685,0.7637225416907655,0.0234263261609714,-0.2791353343035849,-0.064749201898969,-0.9974375214017446,-0.3593686822485456,0.0614591051415526,-0.2590514957455434,-0.4871145088925188,0.4059724408250805,-0.2817256559370743,-0.2877711914717497,0.4662300369825688,0.0110252798781667,0.0613018020587863,0.5461968458335961,0.6223673236702755,-0.2918609089734703,-0.0607887545607865,-0.0913661888430005,0.9509229066582735,-0.3605084578458991,-0.0911049530266971,-0.1615300322268557,-0.9922381659518612,-0.0427375181578114,-0.0573029670152956,-0.4009320484886037,-0.6086911331096487,0.0017656265847031,-0.014468685636617,-0.0445396247158138,0.3897866237988844
6,1.515562635,-0.1457474898069145,-0.0157441676317615,-0.3071131650244195,0.6959175615854226,0.0427716519439788,-0.0424821499056646,-0.5492114304851923,-0.4294665048044459,-0.0272078295081745,-0.0790396051197066,-0.0987255929375104,0.7289443612696791,-0.0508704461314341,-0.0859418896031313,-0.2908305265893651,-0.8899528116456963,0.1059251438497604,-0.0228165588129176,-0.0938203167668812,0.482117490354428,0.18301137296048,-0.0381182778369714,-0.3386879840860832,-0.6035297564939646,-0.0522767800727009,-0.0105457731147041,-0.3915776655795831,0.0604057803354635,0.0394623180937161,-0.010809388909,0.2833597053322107,0.6991174418445399,-0.3724980648077316,-0.0021854206379691,0.1703602559932433,-0.4131324281244263,0.1899471199420483,-0.0126444731463486,0.1388778507680353,-0.928601460394253,-0.2294903352717912,-0.4381870121313383,-0.275010600781532,-0.1057946580878595,0.1761062099403729,-0.0107058118093195,0.225881068156592,0.9961038253671308,0.3902365960255755,-0.1879713363049777,0.3515620306917633,-0.3737552305035935,0.0039149767254329,-0.0500632280512591,0.28397561768423,0.9714181100989372,0.0322687983874087,0.2166242934009427,-0.0520915485138157,-0.997339824246356,-0.2553744945624844,-0.036503527189932,-0.2497012880907571,0.7637225416907655,0.0222415412509636,-0.2794526622760825,-0.0653157199572753,-0.9974375214017446,-0.3594320289597155,0.0610586915388717,-0.2583771334727417,-0.4871145088925188,0.4063421492724127,-0.2813601580916325,-0.2881062097959906,0.4662300369825688,-0.4950029273806377,0.0617687242092833,-0.1778954983738457,0.6223673236702755,-0.2906881441381796,-0.0595834890612288,-0.0922230163591736,0.9509229066582735,-0.3611263010869088,-0.0923461393133323,-0.1610897747788205,-0.9922381659518612,-0.0426391733709089,-0.0573239632669352,-0.4012660385238999,-0.6086911331096487,0.0016498773876612,-0.0142709282946847,-0.0445150684401327,0.3897866237988844
7,1.884605671,-0.1471168405948275,-0.0162933497444114,-0.306980730444792,0.6959175615854226,0.0437591071885045,-0.042110770358474,-0.5492255819582876,-0.4294665048044459,-0.0285731091551803,-0.0799574369015181,-0.0982833094706539,0.7289443612696791,-0.0494416030589225,-0.0849885877916167,-0.291655580265706,-0.8899528116456963,0.1065481790012974,-0.0235937820552896,-0.0949243219079638,0.482117490354428,0.182294389318309,-0.0373682482378751,-0.3375594701800893,-0.6035297564939646,-0.0521012767171816,-0.0105867383406061,-0.3915289187998361,0.0604057803354635,0.039550914871147,-0.0113159817846618,0.2849925769903215,0.6991174418445399,-0.3728837562657826,-0.0019661605172181,0.1691324423174302,-0.4131324281244263,0.1898865474720159,-0.0119706132305659,0.1368014229844793,-0.928601460394253,-0.2295022281694865,-0.4382481828762192,-0.2750738671076364,-0.1057946580878595,0.1760078186249094,-0.0106666470261694,0.2250104259333727,0.9961038253671308,0.3902647511605187,-0.1879988793324253,0.3520627903074962,-0.3737552305035935,0.005038736656633,-0.0497398883718442,0.2839785301872582,0.9714181100989372,0.0308523772387838,0.2162177422679087,-0.0515919437542113,-0.997339824246356,-0.2536473451427546,-0.0356262442091952,-0.2495475521906702,0.7637225416907655,0.0205153142296127,-0.2797521385397037,-0.0652100248049353,-0.9974375214017446,-0.3585601535058602,0.0608134274831822,-0.2573784754533817,-0.4871145088925188,0.405912727995249,-0.2812226016086551,-0.2887737241094325,0.4662300369825688,-0.495880360638262,0.0620826991735806,-0.1790229871079393,0.6223673236702755,-0.2908632182883754,-0.0586449232223211,-0.0934170773537696,0.9509229066582735,-0.3604392277982512,-0.0933799724648764,-0.1602830876748119,-0.9922381659518612,-0.0428268993089918,-0.0562250854067348,-0.4010542599688802,-0.6086911331096487,0.0017429155471734,-0.0149898110054885,-0.0449373380443625,0.3897866237988844
8,2.093454871,-0.1472550071190648,-0.0169186227061871,-0.3072139916043553,0.6959175615854226,0.0439152895759088,-0.041688707453883,-0.5489622416272922,-0.4294665048044459,-0.0287245249958531,-0.0807892703275898,-0.0980480863950463,0.7289443612696791,-0.0493776952469819,-0.0841279011787399,-0.2922053941027908,-0.8899528116456963,0.1064921172065715,-0.0239310362954893,-0.0954233980697406,0.482117490354428,0.1824047543481595,-0.0371225591403261,-0.3371290346796787,-0.6035297564939646,-0.0520059660490239,-0.0106211168775334,-0.3915599019488795,0.0604057803354635,0.040558072537844,-0.0104567282602703,0.2863451549674668,0.6991174418445399,-0.373972737148544,-0.0027471704253163,0.1680661152409602,-0.4131324281244263,0.1887871742136793,-0.0128417473051081,0.1350679655080098,-0.928601460394253,-0.2297269259194166,-0.4381485847450078,-0.2753472429803577,-0.1057946580878595,0.1769959716044762,-0.0112124963104284,0.2255470506189829,0.9961038253671308,0.3897022128152524,-0.1876956731768582,0.3519085085984834,-0.3737552305035935,0.0069693121402784,-0.0478299710179478,0.2850098544614149,0.9714181100989372,0.0286797931306202,0.2141295497746503,-0.0521179786206407,-0.997339824246356,-0.2510683322610945,-0.0332934828450678,-0.2484979697084418,0.7637225416907655,0.0179485922724776,-0.2815501140422937,-0.0660856975075597,-0.9974375214017446,-0.3577301114572849,0.0591900946938151,-0.2565731543850924,-0.4871145088925188,0.4056759745163449,-0.2796959002509933,-0.289434400796425,0.4662300369825688,-0.4967846468520908,0.0640096497256928,-0.1799015163676737,0.6223673236702755,-0.2913078249042036,-0.0556914272149402,-0.0942360804525438,0.9509229066582735,-0.3595372022085426,-0.0964947643225422,-0.159872774372108,-0.9922381659518612,-0.0437818599998381,-0.0553951337862254,-0.4019670566575231,-0.6086911331096487,0.0023578827849182,-0.0154644561385357,-0.0446071388394192,0.3897866237988844
9,1.879388005,-0.1472651403445971,-0.0165613046303906,-0.3075744539562404,0.6959175615854226,0.0438985444519007,-0.0419918608248808,-0.5485644885213252,-0.4294665048044459,-0.0290533080352526,-0.0805289410935556,-0.0979642224690692,0.7289443612696791,-0.0491856109610056,-0.0844814095087132,-0.2925828603470955,-0.8899528116456963,0.1064955892665905,-0.0241741653820843,-0.0952002279028759,0.482117490354428,0.1823604653532229,-0.0369624165721687,-0.3375390719503181,-0.6035297564939646,-0.0520556350587701,-0.0106958326451463,-0.3914860861036222,0.0604057803354635,0.0418143568430217,-0.0101474233695017,0.2875427080102357,0.6991174418445399,-0.3752082431484777,-0.0030492682198176,0.1670756429775006,-0.4131324281244263,0.1873827000784826,-0.0131113166220094,0.1335117390140381,-0.928601460394253,-0.2298353450459696,-0.4381558851745705,-0.2755800089190859,-0.1057946580878595,0.1777641177642679,-0.0109378443674555,0.2261542795849412,0.9961038253671308,0.3891787346572779,-0.1878998970933994,0.3516921462636519,-0.3737552305035935,0.0088521360736067,-0.047095014163277,0.2855751209140628,0.9714181100989372,0.026646193817202,0.2134085827836304,-0.0520546634814472,-0.997339824246356,-0.2485555566519974,-0.0321493650651878,-0.2481973041375081,0.7637225416907655,0.0155526274163676,-0.2822394541947724,-0.0662462971229141,-0.9974375214017446,-0.356373783561283,0.0587438303211319,-0.2559128951636673,-0.4871145088925188,0.4050537974239935,-0.2791959051081525,-0.290139095109186,0.4662300369825688,-0.4983330561401322,0.064516782020028,-0.1805720372185109,0.6223673236702755,-0.2928606686878787,-0.0544424304468568,-0.0952627868558473,0.9509229066582735,-0.3575198245039649,-0.0978420204735819,-0.1593126333138997,-0.9922381659518612,-0.044309494558898,-0.0543726620312167,-0.4017456450805468,-0.6086911331096487,0.0025872058690542,-0.0160839533851395,-0.045033237293222,0.3897866237988844
