,frame,error,a1,a2,d1,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,x_c6,x_c7,x_c8,x_c9,x_c10,x_c11,x_c12,x_c13,x_c14,x_c15,x_c16,x_c17,x_c18,x_c19,x_c20,x_c21,x_c22,x_c23,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,y_c6,y_c7,y_c8,y_c9,y_c10,y_c11,y_c12,y_c13,y_c14,y_c15,y_c16,y_c17,y_c18,y_c19,y_c20,y_c21,y_c22,y_c23,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,z_c6,z_c7,z_c8,z_c9,z_c10,z_c11,z_c12,z_c13,z_c14,z_c15,z_c16,z_c17,z_c18,z_c19,z_c20,z_c21,z_c22,z_c23,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5,q_c6,q_c7,q_c8,q_c9,q_c10,q_c11,q_c12,q_c13,q_c14,q_c15,q_c16,q_c17,q_c18,q_c19,q_c20,q_c21,q_c22,q_c23
0,0,0.406585459,116.0,121.0,-180.0,-0.3265238817039112,-0.2313097737740092,-0.1643951029353224,-0.1234532789115242,-0.0723558341398781,-0.1030724200040286,-0.0772193518757995,-0.2138530580622919,0.0838909672151702,0.2661990300881737,-0.2827580768076443,0.1065749795956523,-0.4939324132564736,0.066992454824114,0.123238265520105,0.4875181911753241,0.0101577523347863,-0.1363667388509825,-0.1398867394460781,0.0205422070735981,-0.0576714400455007,-0.0029433321727877,0.0194354396052697,0.0775830880899731,0.2940004719774223,0.5025756561162177,-0.1685116106343003,-0.1457928446505336,0.137612224633819,0.2370354815536269,0.0827810993151711,0.2328241378231105,-0.1176678774765611,0.0212633512733775,0.0063804923350578,0.0279668221824354,-0.0138619176739568,0.3866060797985414,-0.2549251984417097,-0.0768847976590194,-0.0065636676193165,-0.2421678500447503,-0.1155241283461144,-0.401193507154197,0.1263363551967453,0.0484928340638843,0.0867452688419543,-0.019806583100688,-0.1443801226456757,-0.0404960415070356,-0.169778617292583,-0.008141493812184,-0.0216949203674229,0.3051303705001885,0.3748530745758488,0.4698500780665507,-0.5479771770875731,0.1890827385296278,0.0100459570440147,0.292329326983618,-0.1228489658235066,0.0431784087698936,0.0391069719613531,0.0175947796361893,0.1214322156628973,-0.4859490711605691,0.4605155942189321,-0.2996020666527919,0.2755165917986176,0.0797496268874416,-0.3873508024730288,0.0395094164072982,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
1,1,0.4650951752,111.0,121.0,-180.0,-0.3202496358319908,-0.2103145011002022,-0.1364470496667931,-0.0881351827355108,-0.1440558765393606,-0.1569908599624979,-0.0101864013293239,-0.2188573686783877,0.0440017038396523,0.2508270141371412,-0.2968317621528803,0.0906801156788435,-0.4742206627308176,0.0909567263910318,0.1470393558778189,0.5104279155299196,0.0621168475597468,-0.1684278383822219,-0.1467265023374692,-0.006612121012191,-0.0409382985985015,0.0215026320746956,0.0381610970300914,0.0981608915405349,0.2669261932747209,0.4693446582152166,-0.2189693201327697,-0.2011449922763385,0.1484902006708363,0.2551129475534712,0.1909749413837047,0.2414622627192452,-0.0572404459124954,0.0213205996921047,0.0062436672799361,0.0278573627895275,-0.0139158925432353,0.3864745562458964,-0.2549013051343138,-0.0770157347745483,-0.0065560918589859,-0.2421443280670736,-0.1155553671051775,-0.4010909936813759,0.1039799577485431,0.008906658127022,0.0563532170720184,-0.0349176287397857,-0.1580199883582115,-0.0550433064857762,-0.1962289089033982,-0.0365677896120344,0.0074584155067412,0.3326909420007898,0.4116771610208681,0.4696143723605415,-0.5738382965297004,0.2293717107566103,0.0463663287900418,0.331499831797695,-0.1194402674279055,0.0315588674090346,0.0260466370431138,-0.0048616831221263,0.1093435356940717,-0.467374535695925,0.4787480903563551,-0.2855193992398505,0.2636460088177877,0.0941076359331129,-0.3723520602957411,0.0536742897344012,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
2,2,1.256947431,106.0,121.0,-180.0,-0.2603633531944225,-0.0889629116552083,0.0113958073769987,0.0911488099590852,-0.7218233330869642,-0.4140694435216283,0.9385807416291131,0.0679471113883615,-0.0973631512502528,0.2524833467967193,-0.2961095076384964,0.092110998039816,-0.4725692019670344,0.0967063097417611,0.1463764756791206,0.5115806360410285,0.0666069851063407,-0.1687383714879488,-0.1462501225973563,-0.0107188996355314,-0.05201386728488,0.0301721685954543,0.0429496538961495,0.1049067493216739,0.1217921369987605,0.283360280747276,0.614304793973372,0.7340131226882592,0.5070710464891911,0.4647354291543246,-0.5918207972571519,0.3164650540888159,-0.0719179991383344,0.0216534700953856,0.005011729611668,0.0294228204735001,-0.0119952128011102,0.3839414727223808,-0.2581008133766433,-0.0828335501659735,0.0115683435402475,-0.239126601273286,-0.113162404324403,-0.4021489917734734,0.1128727047009278,0.0106032035312781,0.0566030356272072,-0.0349647348420262,-0.3771659868875321,-0.4726577761133766,-0.4422718653822635,-0.3559823982232349,-0.3492189464914296,-0.488886903874667,-0.0878241034837762,0.4658675632230416,-0.5676874319724791,0.228294694288406,0.0482440264132927,0.3321378616708529,-0.1180333379564256,0.0245631183013311,0.0303880189237213,-0.0045627533176361,0.1121438676477419,-0.4641831524543472,0.481911483078318,-0.2823639140286932,0.2629278993989467,0.0892761955073278,-0.3773138577779236,0.0536580292392524,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
3,3,1.236037235,101.0,121.0,-180.0,-0.3213303819350113,-0.2165261539292057,-0.072170440729254,-0.0206579754963748,-0.0986726250789727,-0.1227889437696299,-0.0993801052750909,-0.2203047625981628,0.0105983431756369,0.2420206273211261,-0.3048410835240546,0.0800455398775509,-0.4742495770113435,0.0850098655158131,0.1478343000899974,0.5097175939818972,0.0509428941241257,-0.1542154814107716,-0.1397709169721948,0.009345435676946,-0.0324640552072731,0.0061097666534458,0.0276576198310501,0.0814866941308631,0.2911457189455228,0.5036902270746124,-0.1690292615181315,-0.152586074395267,0.2279865238116592,0.3150656873778643,0.1938984894101292,0.2310998555274742,-0.1155983373479926,0.0187610191533372,0.0051146869195209,0.029301114142898,-0.0137469995842111,0.3873508848999601,-0.2534933642382398,-0.068401478773409,-0.0205039890961446,-0.2443245893197497,-0.1163387634309646,-0.4014284816724824,0.1012012940335718,0.0099225546570738,0.0584239049996111,-0.0231640989124837,-0.1795178033645404,-0.0827425945491606,-0.2218498305674127,-0.0635758461869124,-0.0397101466339303,0.2869376671123458,0.398152830019306,0.4644100029697102,-0.5710023221539401,0.2274781668935064,0.041898300004095,0.3306618329047333,-0.1243557833992934,0.0377674808349901,0.0227295736257498,-0.0021199743950194,0.1093644606099394,-0.4692192111121407,0.4766340462341718,-0.2871458479611002,0.2687772911691526,0.0878345933744794,-0.3780494270764183,0.0495711629049486,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
4,4,1.202477274,101.0,116.0,-180.0,-0.3628678871542121,-0.2710793154806403,-0.2522243258236365,-0.223017942052099,-0.028444458048756,-0.0582412248016772,-0.0183508328859191,-0.2229549657654177,0.1287116068717289,0.3719170281358613,-0.1868042189688162,0.2172969498118248,-0.4800901351449698,0.0815056031598819,0.1394166691094519,0.5028636342152314,0.0411714139447777,-0.1218089149751456,-0.1559625617033961,0.0290573012584963,-0.0291780813417294,-0.0084468645406925,0.0231829200922491,0.098870767942764,0.2904755249292991,0.5055249411473736,-0.1594029522496515,-0.1440588092457312,0.0817370966379299,0.1862443918037837,0.0103750460152558,0.2304712057002793,-0.1203656477328244,0.0186197773640034,0.0033168343614318,0.0297551574335674,-0.0130050020726205,0.3846904402802551,-0.2568441182000511,-0.073665041775424,-0.0085538796710673,-0.2417684239747353,-0.1148409796121476,-0.4019370741587546,0.1934415796245132,0.0555309521242186,0.0774605854792232,0.0372167241840114,-0.10492693236257,0.0034215960394627,-0.1213212615358563,0.0420935239849446,0.0167103786396759,0.3361005453031657,0.3377134469523598,0.4396939855049732,-0.5593332239796716,0.167534975579273,0.0215843455349357,0.2831804788655494,-0.0521052376098408,0.106644800765627,0.0998568730353661,0.0738312720486657,0.1845010996971074,-0.4469951072758159,0.4983909318444627,-0.2571877711700981,0.2554042240617546,0.0657624372584385,-0.4012193542050883,0.056545032239314,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
5,5,1.082904609,106.0,116.0,-180.0,-0.330425113374988,-0.2420348487986654,-0.2503914776293378,-0.2271023799578184,-0.052193055497157,-0.0826060048984577,-0.0537260347608493,-0.204911453988957,0.1530032608095251,0.2806085267892013,-0.2690252702057555,0.1191426569214145,-0.515683536613706,0.0409282145040449,0.0957502543899265,0.4610819414718332,-0.0433860048802181,-0.1042646133491013,-0.1326802309372809,0.0455181946349806,-0.080095612827237,-0.0243562060210749,0.0001995942608085,0.0593606736743642,0.2895021680790213,0.5060225816348098,-0.1622030536647628,-0.1496020035271035,0.0538853376668891,0.1618998230008351,-0.0192690807710059,0.2286391823120457,-0.1204601522472265,0.018814842765799,0.0033645315749934,0.0312222376271241,-0.0115271777124976,0.3838422167409479,-0.25807215943812,-0.075860407157,0.0005016153112023,-0.2405019764596188,-0.1135303171355394,-0.4025189945686842,0.1514901638890081,0.0925260513262502,0.1211840763910661,-0.0077896576386223,-0.1179454108510089,-0.0060453647216529,-0.1352730391512977,0.02936031059822,-0.000331991469271,0.3162355125112296,0.3534901003952249,0.4771723165881606,-0.5199081834432812,0.1470890867165578,-0.029968009765902,0.2547410187918035,-0.1282633668905238,0.0493004180580746,0.0500329947900631,0.0368816445588036,0.1297313807481887,-0.50473004837918,0.4407723561571916,-0.3160121646547296,0.2873532889356798,0.0644724781780425,-0.4022427728114505,0.025060371843847,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
6,6,1.011218673,111.0,116.0,-180.0,-0.3274580204576482,-0.2390331011742855,-0.244132511374174,-0.2213523493685325,-0.0512582399030564,-0.0818087678493227,-0.0595482574613847,-0.2058182112348615,0.1532526136541243,0.2827731327899818,-0.2672057187197886,0.1208657859560014,-0.5143978245775487,0.0408129348111363,0.0973561993774978,0.4625120999659613,-0.041952431172899,-0.1021444102980426,-0.1316502251852424,0.0478378407653637,-0.0761354693458054,-0.0263610358898746,-0.000993425986979,0.0560534080623984,0.2884788238269284,0.5063325367175103,-0.1655914924088355,-0.1556172421651538,0.0480332145491152,0.1572308269328872,-0.018473297370988,0.2266016341569935,-0.1206798330315428,0.0179889671983632,0.0022241866400822,0.0313120817303839,-0.0119311026056279,0.3834538277054609,-0.2583788488294205,-0.0743077846263404,-0.0039806894329176,-0.2406020880168125,-0.1137932405766244,-0.4020744831325948,0.1474638099937856,0.0891085063565323,0.1193341541686111,-0.0066417268914083,-0.1162989677742292,-0.0039204213564504,-0.1361041396141262,0.0293559126787429,-0.001607099491514,0.3130288851800099,0.3554115182456816,0.4761383782660386,-0.5209003975877671,0.1459256016917589,-0.0298521692694068,0.2547061147884051,-0.1274208074218076,0.0517933144012831,0.0498236187610169,0.0372242083815247,0.1307002789343505,-0.5048831009842762,0.4405679620722161,-0.3162623490733912,0.2885602816449738,0.0639113549173403,-0.4023029668483023,0.0248045092507267,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
7,7,0.9723999578,116.0,116.0,-180.0,-0.3224859964980111,-0.2339205711128867,-0.2380630716854114,-0.2157916796905576,-0.0527479619118073,-0.0833895351170463,-0.0640999261320073,-0.2046592957963943,0.153601847207838,0.2812802536823265,-0.2683752298023065,0.1184759048538988,-0.5141688860088139,0.0387833611983385,0.0965957844981584,0.4618657823635097,-0.049195813391947,-0.0988199228706938,-0.1300433489110639,0.0507641007168406,-0.0748660453032271,-0.0300771462697793,-0.0031313931195035,0.0532523691646263,0.2877668424332832,0.5069811237357464,-0.1660193559901394,-0.1580390699120328,0.0472078959720518,0.1566115907400829,-0.0182306473987405,0.2255899649128786,-0.1207994685200516,0.0173607422922971,0.0016433049327949,0.0316587664932408,-0.0119741081645946,0.383523690358773,-0.2582620230275935,-0.0728077543515307,-0.0061649376130009,-0.2409296390234306,-0.1139130252017593,-0.4019583494266989,0.1502908501938871,0.0914418286944675,0.1207499517870637,-0.0021511996267124,-0.1176159583076029,-0.0055414034735759,-0.1392070349711024,0.0274888887398487,-0.003806391051345,0.3093645410591982,0.3578378461605765,0.4746843744108961,-0.5227779288783282,0.1457791581738673,-0.0307306540996441,0.2550398823787274,-0.130621283888878,0.0531093225242517,0.0499624997799259,0.0396358365126251,0.1299721543668978,-0.5045677976137509,0.4407756303860642,-0.3156949527828477,0.2892197690442977,0.062045096518438,-0.4037361766756171,0.0240997014336585,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
8,8,0.998188966,116.0,111.0,-180.0,-0.350042441171266,-0.256715954675418,-0.218516954459996,-0.1896172618592877,-0.0358113103039939,-0.0643589391228017,-0.0543026294737356,-0.2211906699168646,0.1191351442468148,0.3331650499730458,-0.2212975262406889,0.1729410622922148,-0.485434985472383,0.072398289066276,0.1294117604114289,0.4950008288729553,0.0155749005190816,-0.0858346633931736,-0.134399208115541,0.0589184973842232,-0.0545443376523188,-0.0209025110028016,0.0112277186041193,0.0764912197398726,0.2870727939639717,0.507568037968866,-0.1662893292256325,-0.1600344223518292,0.0938298462437833,0.1974520994686504,0.0353789387505768,0.2241318944729803,-0.1220873311021293,0.016844966580081,0.0004702129250066,0.0315898117271044,-0.0120885180073544,0.382589961585883,-0.2593301084939866,-0.073777665584933,-0.0056552611738385,-0.2404057525897158,-0.1138148013855797,-0.4017499268688072,0.2081884208223864,0.0838457311354811,0.1015803919775435,0.0452917927871404,-0.114044618118268,-0.0062340650024127,-0.1404410996804009,0.0263146257028396,0.005461920195981,0.3195356640094418,0.3497622661777768,0.4476931800623433,-0.5558918915824944,0.1679805331083548,0.0075804814489279,0.2829263552319872,-0.0691981855584523,0.0984564243442766,0.0942753220455778,0.0728075852136428,0.1755784644690143,-0.4608096748876129,0.4838615005765243,-0.2693340849042649,0.2715575781118743,0.0419303754072776,-0.4233841538391261,0.0397148467169799,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
9,9,0.9470457454,111.0,111.0,-180.0,-0.3374616468980823,-0.2321131193015093,-0.0950334443651293,-0.0490689059053933,-0.0847450634805558,-0.1033476083458337,-0.0852603061984406,-0.2321348717032045,0.0099904197632645,0.2658960868983025,-0.2833201515031775,0.1018071025782182,-0.4669123929538685,0.0958174311257555,0.1536351709228375,0.5181839002571739,0.0807163508371621,-0.1766606206573778,-0.1493526729288215,-0.0176682651488803,-0.0329509872035817,0.02945720806694,0.0433672068998103,0.105702404206843,0.2858965678943959,0.5078460880755643,-0.1606329276930742,-0.1550090105114676,0.2193035404889154,0.3054618481394039,0.1806531329511581,0.225966326353996,-0.1200031060372854,0.0168737299880597,0.0008185838108299,0.0325773047688225,-0.0115250911232956,0.3836706947687805,-0.2581968532939074,-0.0716648283042366,-0.0042879345395723,-0.2416168327330828,-0.1138694303324339,-0.4025487641654054,0.1044397120287347,-0.0041476065604344,0.0456318494029567,-0.0335605440943218,-0.1624752718698519,-0.0667278883764472,-0.205723184346954,-0.042454011702158,-0.0234966956085479,0.295413649230165,0.3850232419689399,0.4623627838096089,-0.5691567595758401,0.2248861529914366,0.047518625967542,0.3356432053378873,-0.1117876479453133,0.0346343214612448,0.0282818516842465,-0.0071077844560476,0.1145264058047036,-0.4579605672675129,0.4873936797051611,-0.2786349545236959,0.258023135871875,0.0969885663487825,-0.3663330315149674,0.0596190092138005,0.4396498698493788,-0.2419484626586362,-0.8216640823832928,0.6911058725627753,0.3472770842538423,-0.4972452564803699,0.0348746148872408,0.4472873175241169,0.4040279392599954,-0.764891438135215,-0.5803786163151374,0.6104678734781928,0.4283178126312049,-0.516673231881224,-0.9898710280040961,0.5250946986775089,0.2762007947019022,0.6761625577758107,0.4633336859053099,-0.9923740601782192,0.0587798760355904,0.2214211643831836,-0.4685750352723741,0.2496200493825114
