,frame,error,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5
0,7,0.4394021553,0.014493577217397,0.014493577217397,0.1341137555107336,-0.0439006447476429,-0.1341137555107336,0.0439006447476429,0.3455139784221526,-0.3455139784221526,0.0,0.0,0.0,0.0,-0.0111132801720123,-0.0111132801720123,-0.376845089151358,0.3975772961538833,-0.376845089151358,0.3975772961538833,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
1,8,0.4752089792,0.014493577217397,0.014493577217397,0.1341137555107336,-0.0439006447476429,-0.1341137555107336,0.0439006447476429,0.3455139784221526,-0.3455139784221526,0.0,0.0,0.0,0.0,-0.0111132801720123,-0.0111132801720123,-0.376845089151358,0.3975772961538833,-0.376845089151358,0.3975772961538833,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
2,9,0.4924278752,0.022284884535294,0.0222699206934543,0.1315567265039252,-0.0201137899258318,-0.1321014181758303,0.0200594865403412,0.3214603865735202,-0.3214134508993682,2.64138373765e-05,2.9089285807e-06,2.55597318184e-05,2.2075692713e-06,-0.0159149263097647,-0.0159065801165032,-0.3666678841093292,0.4153840068245521,-0.3662547400749492,0.4153073184804151,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
3,10,0.5065131964,0.0309132588473811,0.0308918428731877,0.1339997975712222,0.0020559524359099,-0.135218866581985,-0.0018985150953881,0.305512282231906,-0.3054521240596089,3.74016652799e-05,-1.04835745246e-05,3.55346690958e-05,-1.00717404542e-05,-0.0203803534779979,-0.0203755096394895,-0.3493329097457313,0.4361781611263823,-0.3483140761042351,0.4358479225895232,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
4,11,0.520413673,0.0397471158882113,0.0397220805481164,0.1363586614735669,0.0189820703140821,-0.1383232187134347,-0.0183068855946907,0.291257011877086,-0.2911898053137701,4.50698487412e-05,-2.3070309779e-05,4.07672456319e-05,-2.48863094365e-05,-0.0240554053607705,-0.0240515752899316,-0.331367181299707,0.4532025306246541,-0.3295405701568828,0.4524144586514975,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
5,12,0.5347309386,0.0484502576477902,0.0484213123552555,0.138268923038365,0.0312823782536205,-0.1409869515437635,-0.0298030620414405,0.277391286829423,-0.2773179006746162,5.12655351482e-05,-3.34817419602e-05,4.56715628934e-05,-3.59559447261e-05,-0.0267679285081348,-0.0267673450883106,-0.3128781513770846,0.4676110967507236,-0.3100624579303017,0.4661223781246476,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
6,13,0.5505752992,0.0565035677990495,0.0564717369013994,0.139386853499989,0.0391447558380802,-0.1428014783575931,-0.036635655695664,0.2632315297237667,-0.2631494234901413,5.8674129554e-05,-3.22011657381e-05,5.07288269728e-05,-4.45798365893e-05,-0.0283324272807693,-0.0283357328741576,-0.2936083265714927,0.4800753771724076,-0.2896526751176896,0.4776316006336662,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
7,6,0.47817438,0.014493577217397,0.014493577217397,0.1341137555107336,-0.0439006447476429,-0.1341137555107336,0.0439006447476429,0.3455139784221526,-0.3455139784221526,0.0,0.0,0.0,0.0,-0.0111132801720123,-0.0111132801720123,-0.376845089151358,0.3975772961538833,-0.376845089151358,0.3975772961538833,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
8,5,0.5035797385,-0.0002098255559761,-0.0001655050449895,0.1184108138858893,-0.0545203301935405,-0.1178013705801836,0.0546161398396014,0.3294976871645258,-0.32944607362965,2.4716743114e-05,2.71477363125e-05,2.55140091875e-05,2.78875353721e-05,0.0005280901130238,0.0004930941059697,-0.3936954716962902,0.3983178456027965,-0.3940433523038199,0.3984082943427466,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
9,4,0.5230954021,-0.0151776229960939,-0.0151022671156319,0.1042942378778932,-0.0670976729044734,-0.1037487758894443,0.066992206414656,0.3264320461560192,-0.3263650742313112,3.12400813419e-05,4.25670242585e-05,3.28863080323e-05,4.38404227447e-05,0.0141921748153153,0.0141271258211135,-0.4036580726450157,0.404033153294052,-0.403916785126365,0.4041899514279358,-0.6174473453354821,-0.6174473453354821,0.5225510324522915,0.0948963128831906,0.5225510324522915,0.0948963128831906
