scan_point,dihedral,close_range,mid_range,far_range,total,rmsd_atoms,rmsd_charges,path,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5
angle_6,6,1.050253689,0.3586237347,0.1500744806,0.6734437373,0.0,0.0,/home/boittier/FDCM/angle_100/angle_6,0.1005823286773033,0.1769719944495137,0.3371174348746397,-0.3030657034698512,0.3291912480672008,0.0333139795175001,-0.4914463089528494,0.4474438074353849,0.0002169262026009,-0.0009687553585211,-5.44128007053e-05,-0.0006434258762715,-0.0784363136627865,-0.1368239082590176,0.0918006246625406,0.2608601225570226,-0.1382723039491907,-0.0702280140787112,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_5,5,1.169893726,0.4099128036,0.1737906354,0.753338435,0.0,0.0,/home/boittier/FDCM/angle_100/angle_5,0.0926586515948273,0.1652821210360757,0.3376667576623207,-0.3032851714588682,0.3285817614378172,0.0312394728218287,-0.4935309963149042,0.4465673228473638,2.49662122566e-05,-0.0020527003591321,-0.0004148301653663,-0.0017416542770477,-0.0751620449097261,-0.1304557227631691,0.0862876001242306,0.2602528561598033,-0.1341714138106687,-0.0629936686444953,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_4,4,1.315353203,0.4801568176,0.2016511622,0.852595275,2.1073424255447017e-08,5.960464477539063e-08,/home/boittier/FDCM/angle_100/angle_4,0.0831669743159189,0.1521669237729121,0.3373404130777853,-0.3041865019222872,0.3269900418219506,0.027366836889316,-0.4951797620518854,0.4460510956004946,-0.0002626526946936,-0.0030358037919001,-0.0008540576989381,-0.0029525071548709,-0.0706607981764686,-0.1228970343855272,0.0793584325783108,0.2594383206777998,-0.1296862742653687,-0.0547437999552163,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_3,3,1.46899323,0.5558705524,0.2286410464,0.9576557689,0.0,4.2146848510894035e-08,/home/boittier/FDCM/angle_100/angle_3,0.0730585098906654,0.1386357585867099,0.3356450115209269,-0.3058038030308026,0.3246086152103485,0.0219772059192814,-0.4965354350767584,0.4457098083459143,-0.0005255614726409,-0.0038640588833038,-0.0012906665022477,-0.0041282539517421,-0.0649675425767621,-0.1141948485449325,0.0715771666832182,0.2586814131948293,-0.1252873411187655,-0.0464525339913698,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_2,2,1.620874691,0.6307726797,0.2533188188,1.061333484,0.0,0.0,/home/boittier/FDCM/angle_100/angle_2,0.0629199415170659,0.1253127881013388,0.3324477763035561,-0.3080314592589619,0.3215927537189044,0.0153465657128063,-0.4976448896283509,0.4454420532361296,-0.0007246829501115,-0.004540126306854,-0.0016993034474845,-0.0052150457286751,-0.0582568607430695,-0.1045366327453321,0.063489940480903,0.2581836016349102,-0.121215714663018,-0.0387305683794204,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_1,1,1.7703593,0.7033156737,0.2753710629,1.162720063,0.0,0.0,/home/boittier/FDCM/angle_100/angle_1,0.0531537114362855,0.1126248710389273,0.3276830713176296,-0.3107441894326,0.3180424375057247,0.0077035785066477,-0.4985020105266085,0.4451676901204311,-0.0008508967418043,-0.0050810815049966,-0.0020728272669978,-0.0061954372976473,-0.0507564651862794,-0.094164094338119,0.0555383140292054,0.2580989321942198,-0.11760679396216,-0.0319988453523873,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_7,7,0.9720780307,0.3578865731,0.1543035145,0.6304680409,0.0,0.0,/home/boittier/FDCM/angle_100/angle_7,0.1045920720589501,0.1777799920193317,0.3329435680549442,-0.3053951866178969,0.3292669849040731,0.0323738806182755,-0.493525127672815,0.4464851388455763,-3.74225497186e-05,-0.0022488466583628,-0.0002307822238117,-0.0015110648441126,-0.0794090012691086,-0.1350864528764302,0.093129930917593,0.2629334755051145,-0.140007995092408,-0.0730376786309192,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_8,8,1.048536676,0.4301238207,0.1947751011,0.6935271666,0.0,0.0,/home/boittier/FDCM/angle_100/angle_8,0.1124720126470954,0.1829713330412392,0.3281538257459446,-0.3072038604260929,0.3297901215166622,0.0325141241641594,-0.4951217775750373,0.4458353319814884,-0.0004823573686425,-0.0035084732216588,-0.0003656826596278,-0.0023407490986023,-0.0812648766800952,-0.1345284221562452,0.0973085151619813,0.2659519078965085,-0.143943961675812,-0.0796129358555169,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_9,9,1.195658598,0.5144164893,0.2295078749,0.7977637489,2.1073424255447017e-08,0.0,/home/boittier/FDCM/angle_100/angle_9,0.1218371775280051,0.1901338307074412,0.3241776479082202,-0.307639356087448,0.330941591467109,0.0344092302370491,-0.4963666692306735,0.4453025741616823,-0.0009899550819066,-0.0046503389201297,-0.0004204217003467,-0.0030371633449303,-0.0828903025788965,-0.1339890612351524,0.1032759141838361,0.269441057987346,-0.1488366741430026,-0.0884271235807199,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_10,10,1.370739002,0.5997351801,0.259373961,0.9168383595,2.1073424255447017e-08,0.0,/home/boittier/FDCM/angle_100/angle_10,0.1315114714682539,0.1980412611135274,0.3213281969701316,-0.3067216745641583,0.3325746311752833,0.0380396075933063,-0.4972893007748441,0.4447772602012305,-0.0015088012299705,-0.0056657035662142,-0.0004021082118644,-0.0035842267448024,-0.0838128240379999,-0.1329416002367873,0.1105009378126359,0.2732798428279832,-0.1541581762192868,-0.0988595666697088,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
