scan_point,dihedral,close_range,mid_range,far_range,total,rmsd_atoms,rmsd_charges,path,x_c0,x_c1,x_c2,x_c3,x_c4,x_c5,y_c0,y_c1,y_c2,y_c3,y_c4,y_c5,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,q_c0,q_c1,q_c2,q_c3,q_c4,q_c5
angle_6,6,1.09658555,0.3880382624,0.1784754854,0.7067627725,2.1073424255447017e-08,0.0,/home/boittier/FDCM/angle_11/angle_6,0.1053302213783548,0.1855513729582486,0.3368020971987876,-0.3031296367908747,0.3285572375976507,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661488,-0.1422905592285246,0.0953789939131778,0.260983880696505,-0.1410096707989644,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_5,5,1.408103136,0.5783655685,0.3113158023,0.9340409769,0.0,0.0,/home/boittier/FDCM/angle_11/angle_5,0.1053302213783548,0.1855513729582486,0.3368020971987877,-0.3031296367908747,0.3285572375976505,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661488,-0.1422905592285246,0.0953789939131778,0.260983880696505,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_4,4,1.822553469,0.834810366,0.4747233623,1.240551949,0.0,0.0,/home/boittier/FDCM/angle_11/angle_4,0.1053302213783548,0.1855513729582487,0.3368020971987877,-0.3031296367908748,0.3285572375976505,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661488,-0.1422905592285246,0.0953789939131778,0.260983880696505,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_3,3,2.274384786,1.109074006,0.6431835126,1.573378226,0.0,0.0,/home/boittier/FDCM/angle_11/angle_3,0.1053302213783548,0.1855513729582487,0.3368020971987877,-0.3031296367908749,0.3285572375976505,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661488,-0.1422905592285247,0.0953789939131779,0.260983880696505,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_2,2,2.729710825,1.380926304,0.8076579636,1.908076129,0.0,0.0,/home/boittier/FDCM/angle_11/angle_2,0.1053302213783548,0.1855513729582486,0.3368020971987877,-0.3031296367908748,0.3285572375976506,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661488,-0.1422905592285245,0.0953789939131779,0.2609838806965049,-0.1410096707989643,-0.074822258158671,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_1,1,3.172542452,1.64232738,0.9631408401,2.231268386,0.0,0.0,/home/boittier/FDCM/angle_11/angle_1,0.1053302213783548,0.1855513729582486,0.3368020971987877,-0.3031296367908748,0.3285572375976504,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661488,-0.1422905592285244,0.0953789939131779,0.2609838806965049,-0.1410096707989642,-0.074822258158671,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_7,7,0.9954103148,0.3703269579,0.1645418086,0.6460878646,0.0,0.0,/home/boittier/FDCM/angle_11/angle_7,0.1053302213783548,0.1855513729582486,0.3368020971987876,-0.3031296367908747,0.3285572375976507,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661487,-0.1422905592285246,0.0953789939131779,0.2609838806965049,-0.1410096707989645,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_8,8,1.146186747,0.5233760921,0.2725304737,0.7769237012,0.0,0.0,/home/boittier/FDCM/angle_11/angle_8,0.1053302213783548,0.1855513729582487,0.3368020971987877,-0.3031296367908747,0.3285572375976508,0.0332657127720717,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661487,-0.1422905592285247,0.0953789939131779,0.260983880696505,-0.1410096707989646,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_9,9,1.456086836,0.7311879629,0.4020905759,1.012113895,0.0,0.0,/home/boittier/FDCM/angle_11/angle_9,0.1053302213783547,0.1855513729582487,0.3368020971987876,-0.3031296367908747,0.3285572375976508,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661487,-0.1422905592285246,0.0953789939131778,0.2609838806965049,-0.1410096707989646,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_10,10,1.830587346,0.9438886638,0.5265312126,1.281905076,0.0,0.0,/home/boittier/FDCM/angle_11/angle_10,0.1053302213783548,0.1855513729582487,0.3368020971987875,-0.3031296367908747,0.3285572375976505,0.0332657127720716,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661488,-0.1422905592285246,0.0953789939131777,0.2609838806965049,-0.1410096707989644,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_11,11,2.224136471,1.147220496,0.6399997505,1.556645939,0.0,7.300048299977713e-08,/home/boittier/FDCM/angle_11/angle_11,0.1053302213783547,0.1855513729582487,0.3368020971987876,-0.3031296367908748,0.3285572375976505,0.0332657127720717,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661488,-0.1422905592285246,0.0953789939131777,0.2609838806965047,-0.1410096707989643,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_12,12,2.61515259,1.337243641,0.7401429615,1.824130218,0.0,4.2146848510894035e-08,/home/boittier/FDCM/angle_11/angle_12,0.1053302213783547,0.1855513729582487,0.3368020971987876,-0.3031296367908747,0.3285572375976506,0.0332657127720717,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661488,-0.1422905592285246,0.0953789939131778,0.2609838806965046,-0.1410096707989645,-0.0748222581586711,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
angle_13,13,2.997030186,1.511866933,0.8254617097,2.080110643,0.0,0.0,/home/boittier/FDCM/angle_11/angle_13,0.1053302213783548,0.1855513729582486,0.3368020971987876,-0.3031296367908747,0.3285572375976507,0.0332657127720717,-0.4885572525502702,0.4490833936174006,-1.01046553958e-05,-2.207658383e-06,-2.801291613e-06,-2.84310959546e-05,-0.0807770004661487,-0.1422905592285246,0.0953789939131779,0.2609838806965046,-0.1410096707989646,-0.074822258158671,-0.2822158592578413,-0.3116384743180583,0.1966302669268139,0.0901736565411548,0.0649113763663102,0.2421390337416208
